,alpha_c.csv
590,https://www.rxlist.com/xalkori-drug.htm
592,https://www.rxlist.com/fulyzaq-drug.htm
593,https://www.rxlist.com/mytesi-drug.htm
596,https://www.rxlist.com/nasalcrom-drug.htm
597,https://www.rxlist.com/intal-drug.htm
598,https://www.rxlist.com/intal-nebulizer-solution-drug.htm
599,https://www.rxlist.com/opticrom-drug.htm
600,https://www.rxlist.com/gel-one-drug.htm
602,https://www.rxlist.com/eurax-drug.htm
603,https://www.rxlist.com/cryselle-drug.htm
604,https://www.rxlist.com/aminosyn-sulfite-free-drug.htm
605,https://www.rxlist.com/aminosyn-electrolytes-drug.htm
606,https://www.rxlist.com/crysvita-drug.htm
607,https://www.rxlist.com/cubicin-drug.htm
608,https://www.rxlist.com/cubicin-rf-drug.htm
610,https://www.rxlist.com/cuprimine-drug.htm
611,https://www.rxlist.com/curosurf-drug.htm
612,https://www.rxlist.com/cutivate-drug.htm
613,https://www.rxlist.com/cutivate-lotion-drug.htm
614,https://www.rxlist.com/cutivate-ointment-drug.htm
615,https://www.rxlist.com/cuvitru-drug.htm
616,https://www.rxlist.com/cuvposa-drug.htm
617,https://www.rxlist.com/cyanocobalamin-drug.htm
618,https://www.rxlist.com/nascobal-drug.htm
620,https://www.rxlist.com/cyanokit-drug.htm
621,https://www.rxlist.com/cyclafem-drug.htm
622,https://www.rxlist.com/cyclessa-drug.htm
623,https://www.rxlist.com/flexeril-drug.htm
624,https://www.rxlist.com/amrix-drug.htm
625,https://www.rxlist.com/fexmid-drug.htm
626,https://www.rxlist.com/cyclocort-drug.htm
631,https://www.rxlist.com/ak-pentolate-drug.htm
633,https://www.rxlist.com/seromycin-drug.htm
634,https://www.rxlist.com/cycloset-drug.htm
635,https://www.rxlist.com/sandimmune-drug.htm
636,https://www.rxlist.com/neoral-drug.htm
637,https://www.rxlist.com/restasis-drug.htm
638,https://www.rxlist.com/gengraf-capsules-drug.htm
640,https://www.rxlist.com/gengraf-oral-solution-drug.htm
642,https://www.rxlist.com/cyklokapron-drug.htm
643,https://www.rxlist.com/cylert-drug.htm
644,https://www.rxlist.com/cyltezo-drug.htm
645,https://www.rxlist.com/cymbalta-drug.htm
648,https://www.rxlist.com/cyramza-drug.htm
649,https://www.rxlist.com/cystadane-drug.htm
654,https://www.rxlist.com/procysbi-drug.htm
657,https://www.rxlist.com/elcys-drug.htm
658,https://www.rxlist.com/nouress-drug.htm
659,https://www.rxlist.com/cystografin-drug.htm
660,https://www.rxlist.com/cysview-drug.htm
661,https://www.rxlist.com/cytadren-drug.htm
662,https://www.rxlist.com/cytarabine-drug.htm
663,https://www.rxlist.com/depocyt-drug.htm
666,https://www.rxlist.com/cytomel-drug.htm
667,https://www.rxlist.com/cytotec-drug.htm
668,https://www.rxlist.com/cytovene-drug.htm
